nuts,population
RO213,793559.00
UKK43,795012.00
ITF45,795134.00
TRB11,797036.00
CH011,799145.00
SK042,800414.00
ES514,802547.00
HR041,806341.00
TR901,807903.00
LT011,810538.00
LT01,810538.00
CH06,813056.00
AL01,813758.00
FRG02,815111.00
TR82,819468.00
CZ042,820789.00
UKE31,820943.00
FRK28,821382.00
UKE2,824054.00
FRE22,824981.00
SK041,825022.00
TRC31,829195.00
DK02,836738.00
ITC33,841180.00
ITH35,853338.00
SE31,855220.00
FRY40,857961.00
FRY4,857961.00
UKC22,858694.00
ITH32,862418.00
SE21,864630.00
ES705,865756.00
IE04,867947.00
TR412,871187.00
NL332,872211.00
ITC4D,873935.00
UKG24,874190.00
BE22,875842.00
CY000,875899.00
CY00,875899.00
CY0,875899.00
CY,875899.00
AL03,878527.00
HU23,879596.00
ITI2,882015.00
ITH34,887806.00
DK042,890567.00
ITC41,890768.00
AL022,895160.00
NO05,901689.00
FRH02,907331.00
UKJ11,915157.00
EL303,917960.00
ES614,919700.00
ITF31,922965.00
ES532,923608.00
ITH31,926497.00
BG33,929035.00
UKD6,931347.00
UKE1,932645.00
ITH36,937908.00
ES114,941007.00
PL52,946038.00
UKM9,947186.00
ES709,949471.00
TR323,967487.00
ES243,968049.00
SI04,986473.00
HU22,989343.00
Dec-00,990509.00
DEC,990509.00
PL43,1003310.00
NO03,1005070.00
TR422,1010700.00
ITI14,1011349.00
ITH55,1014619.00
ES120,1022205.00
ES12,1022205.00
TR322,1027782.00
TR211,1029927.00
BG34,1032079.00
CH021,1034977.00
FRF33,1038692.00
DED5,1043293.00
TR81,1046711.00
DE72,1047262.00
BE211,1053033.00
HU21,1058236.00
ES43,1065424.00
DE24,1067482.00
FRL05,1068920.00
FRH03,1074841.00
FRL03,1080815.00
DEA23,1085664.00
TRA1,1086156.00
SI03,1094435.00
TR321,1097746.00
ITF35,1098513.00
EL522,1104690.00
ITG17,1107702.00
DE23,1109269.00
BE33,1110068.00
ITC46,1114590.00
CZ04,1115685.00
NL42,1116137.00
ES111,1122006.00
TRB21,1123784.00
TRA2,1124898.00
HU31,1126360.00
FRF11,1130370.00
ES213,1137191.00
TR632,1144851.00
BE24,1146643.00
UKG31,1148862.00
PL84,1152074.00
FI1C,1152719.00
NL21,1156431.00
DE929,1157624.00
CH03,1161105.00
FRJ13,1166070.00
UKL2,1168000.00
AL02,1170142.00
FRC2,1173605.00
CH05,1176321.00
CZ064,1187667.00
ES53,1188220.00
UKI3,1190513.00
UKH23,1194634.00
UKK4,1195198.00
BE25,1196995.00
EL4,1200055.00
UKC1,1201543.00
CZ080,1203299.00
CZ08,1203299.00
ITH4,1215220.00
BE100,1215290.00
BE10,1215290.00
BE1,1215290.00
CZ07,1215413.00
DE73,1219823.00
DK03,1223348.00
PL72,1226243.00
TR221,1226575.00
CZ03,1226805.00
HU33,1237101.00
DE22,1238528.00
FR108,1241800.00
AT22,1243052.00
FRD22,1247452.00
ES612,1249739.00
ITF47,1251994.00
ITG12,1252588.00
FRK24,1263351.00
ITC47,1265954.00
HU120,1278874.00
HU12,1278874.00
FI1D,1284638.00
NO01,1305122.00
NL310,1306912.00
NL31,1306912.00
CZ010,1308632.00
CZ01,1308632.00
ITF1,1311580.00
FR104,1311863.00
FRF2,1314964.00
UKI6,1316772.00
DE26,1317124.00
ES24,1320586.00
DK04,1320678.00
EE00,1324820.00
EE0,1324820.00
EE,1324820.00
BG411,1328120.00
TR831,1335716.00
UKK2,1336003.00
SK03,1339242.00
BE32,1346082.00
UKG1,1352539.00
SE224,1362164.00
FRK1,1362576.00
CZ020,1369332.00
CZ02,1369332.00
NL329,1370657.00
HR03,1374071.00
FI19,1379749.00
IE061,1387606.00
FRJ23,1388447.00
TR721,1389680.00
FR107,1400072.00
PL62,1404441.00
UKE3,1404971.00
BG42,1410248.00
FR102,1417171.00
FRG01,1423365.00
TR331,1429643.00
DED4,1436445.00
NL33C,1441452.00
FR103,1445318.00
HU32,1450960.00
UKC2,1455437.00
FRE12,1457843.00
FRD1,1464500.00
DE212,1471508.00
AT31,1482095.00
ES620,1487663.00
ES62,1487663.00
UKD4,1495318.00
DEB1,1495885.00
RS22,1498079.00
CZ05,1513693.00
BE23,1516283.00
CH040,1520968.00
CH04,1520968.00
SE22,1521848.00
ITI3,1525271.00
UKM8,1541998.00
ITC3,1550640.00
UKD7,1553324.00
DE91,1596396.00
DED2,1598199.00
TR71,1603688.00
DE80,1609675.00
DE8,1609675.00
TR631,1609856.00
FR105,1612763.00
FRI12,1617189.00
FRC1,1619728.00
IE05,1624381.00
SK04,1625436.00
UKG2,1626956.00
ITG2,1639591.00
CH01,1642580.00
FR106,1654892.00
ES617,1660985.00
FI1B1,1671024.00
FI1B,1671024.00
PL42,1675502.00
AT12,1677542.00
RS110,1691919.00
RS11,1691919.00
CZ06,1696941.00
SE12,1708813.00
SE232,1709814.00
DE93,1710914.00
PT11A,1722374.00
NL1,1723829.00
TRC22,1732396.00
SE3,1751604.00
HU110,1752286.00
HU11,1752286.00
TRB1,1762077.00
TR22,1767237.00
DE25,1770401.00
PL911,1775986.00
RO42,1777474.00
TR21,1802315.00
AT2,1803991.00
FRI3,1806292.00
TR622,1814468.00
SK02,1826145.00
RO321,1829897.00
DK01,1835562.00
DE600,1841179.00
DE60,1841179.00
DE6,1841179.00
UKH3,1841887.00
UKF2,1843764.00
FRD2,1848840.00
UKJ4,1854717.00
DE14,1856517.00
RS12,1856911.00
BE21,1860470.00
ES521,1862780.00
FRK26,1865534.00
UKH2,1871847.00
EL52,1873777.00
CH02,1877154.00
UKN0,1885189.00
UKN,1885189.00
DE27,1887754.00
FRF1,1894144.00
AT130,1897491.00
AT13,1897491.00
TR421,1906391.00
RS21,1916855.00
LV00,1919968.00
LV0,1919968.00
LV,1919968.00
FRE2,1925138.00
RO41,1926860.00
UKI5,1940638.00
ITF6,1947131.00
ES618,1949640.00
UKL1,1968383.00
LT02,1983646.00
UKJ3,1993050.00
UKM7,1998699.00
TRC11,2028563.00
FRL04,2031409.00
ES42,2034877.00
TRC21,2035809.00
SE23,2039166.00
DEA4,2055310.00
PL61,2055433.00
DEB3,2057952.00
NL22,2071972.00
MK00,2076953.00
MK0,2076953.00
MK,2077132.00
SI0,2080908.00
SI,2080908.00
PL82,2086135.00
PL81,2097294.00
BG41,2102205.00
UKI7,2103443.00
DEG0,2143145.00
DEG,2143145.00
DE92,2149805.00
FR101,2160928.00
TRB2,2167642.00
ES21,2177880.00
FRY,2190929.00
TR521,2205609.00
ES70,2206901.00
ES7,2206901.00
DEE0,2208321.00
DEE,2208321.00
UKF1,2210381.00
TRA,2211054.00
PT16,2216569.00
TR621,2220125.00
ITC11,2259523.00
DE13,2264469.00
TRC3,2284158.00
PL63,2305077.00
RO32,2315173.00
FRF3,2316183.00
RO12,2318272.00
UKE4,2324560.00
PL92,2327207.00
SE110,2344124.00
SE11,2344124.00
RO22,2396171.00
ES41,2407733.00
IE06,2411912.00
UKJ1,2417428.00
TR611,2426356.00
UKI4,2430890.00
PL71,2453167.00
TR52,2457522.00
TR72,2461269.00
DE40,2511917.00
DE4,2511917.00
UKK1,2516568.00
UKH1,2521676.00
DE94,2525333.00
ES523,2540588.00
NL41,2544806.00
RO11,2552112.00
FRB0,2565258.00
FRB,2565258.00
FRE11,2594456.00
DEA3,2623619.00
UKC,2656980.00
ES11,2700441.00
HR04,2702175.00
EL6,2708105.00
TR90,2719113.00
TR9,2719113.00
FRC,2793333.00
LT0,2794184.00
LT,2794184.00
TRC1,2795617.00
DE12,2805129.00
UKD3,2822003.00
TR83,2822353.00
FRJ1,2838966.00
PT170,2846332.00
PT17,2846332.00
NL32,2853359.00
AL0,2862427.00
AL,2862427.00
PL51,2865072.00
DEF0,2896712.00
DEF,2896712.00
UKJ2,2909838.00
HU2,2927175.00
UKG3,2928377.00
RO31,2929832.00
TR411,2994521.00
HU1,3031160.00
PL91,3053104.00
FRJ2,3060243.00
EL5,3074204.00
ITF33,3084890.00
TR32,3093015.00
TR33,3100666.00
UKL,3136383.00
TR61,3137694.00
AT3,3186318.00
RO21,3198564.00
ITC4C,3250315.00
TR63,3289122.00
FRD,3313340.00
FRH0,3333720.00
FRH,3333720.00
PL21,3360545.00
RS2,3414934.00
FRI1,3450045.00
PL41,3473172.00
BG3,3487586.00
BG4,3512453.00
RS1,3548830.00
TR2,3569552.00
PT11,3572583.00
DEA5,3582497.00
BE3,3643996.00
DE300,3644826.00
DE30,3644826.00
DE3,3644826.00
NL2,3644949.00
NL4,3660943.00
PL7,3679410.00
RO4,3704334.00
NL33,3709139.00
ITI1,3729641.00
EL30,3742235.00
EL3,3742235.00
TRC2,3768205.00
FRG0,3787400.00
FRG,3787400.00
PL5,3811110.00
HU3,3814421.00
AT1,3868466.00
TR42,3878979.00
TRB,3929719.00
DE71,3998724.00
ITF4,4029053.00
TR62,4034593.00
FRE1,4052299.00
SE1,4052937.00
TR7,4064957.00
HR0,4076246.00
HR,4076246.00
DED,4077937.00
DEB,4084844.00
TR41,4089156.00
DE11,4143418.00
ES1,4304287.00
TR310,4320519.00
TR31,4320519.00
ITI43,4342212.00
ITC1,4356406.00
SE2,4425644.00
ITH5,4459477.00
ES2,4461983.00
DEA2,4468904.00
PL22,4488998.00
DE21,4686163.00
TR8,4688532.00
UKF,4811065.00
RO1,4870384.00
IE0,4904240.00
IE,4904240.00
ITH3,4905854.00
ES52,4974969.00
ITG1,4999891.00
FRL0,5048405.00
FRL,5048405.00
DEA1,5202321.00
RO3,5245005.00
NO0,5328212.00
NO,5328212.00
PL8,5335503.00
PL9,5380311.00
SK0,5450421.00
SK,5450421.00
UKM,5454238.00
UKE,5486230.00
FI1,5488130.00
TR510,5503985.00
TR51,5503985.00
ES4,5508034.00
FI,5517919.00
FRF,5525291.00
ES511,5575204.00
RO2,5594735.00
UKK,5616381.00
PL6,5764951.00
ITF3,5801692.00
DK0,5806081.00
DK,5806081.00
ITI4,5879082.00
FRJ,5899209.00
UKG,5907872.00
FRE,5977437.00
FRI,5986318.00
PL4,6151984.00
UKH,6235410.00
DE7,6265809.00
BE2,6596233.00
ITG,6639482.00
ES300,6641649.00
ES30,6641649.00
ES3,6641649.00
FRK2,6643306.00
RS,6963764.00
BG,7000039.00
UKD,7300075.00
ES51,7566431.00
PL2,7849543.00
TR5,7961507.00
TR4,7968135.00
DE9,7982448.00
FRK,8005882.00
NL3,8252442.00
ES61,8427405.00
CH0,8544527.00
CH,8544527.00
TRC,8847980.00
AT,8858775.00
UKI,8982256.00
UKJ,9175033.00
HU,9772756.00
PT1,9779826.00
ITC4,10060574.00
ES6,10084586.00
SE,10230185.00
PT,10276617.00
TR6,10461409.00
TR3,10514200.00
CZ0,10649800.00
CZ,10649800.00
EL,10724599.00
DE1,11069533.00
BE,11455519.00
ITH,11652827.00
ITI,12016009.00
FR10,12244807.00
FR1,12244807.00
DE2,13076721.00
ES5,13729620.00
ITF,13957942.00
EFTA,14268108.00
TR100,15067724.00
TR10,15067724.00
TR1,15067724.00
ITC,16093286.00
NL,17282163.00
DEA,17932651.00
RO,19414458.00
PL,37972812.00
ES,46937060.00
IT,60359546.00
UK,66647112.00
FR,67012883.00
TR,82003882.00
DE,83019213.00
EU27_2020,446824564.00
EU27_2007,509395430.00
EU28,513471676.00
UKXYZ,56286961.00
